wavelength,n,k
1.48E+003,2.21E+000,3.37E-002
1.48E+003,2.21E+000,3.37E-002
1.48E+003,2.21E+000,3.37E-002
1.48E+003,2.21E+000,3.37E-002
1.48E+003,2.21E+000,3.37E-002
1.49E+003,2.21E+000,3.37E-002
1.49E+003,2.21E+000,3.37E-002
1.49E+003,2.21E+000,3.37E-002
1.49E+003,2.21E+000,3.36E-002
1.49E+003,2.21E+000,3.36E-002
1.50E+003,2.21E+000,3.36E-002
1.50E+003,2.21E+000,3.36E-002
1.50E+003,2.21E+000,3.36E-002
1.50E+003,2.21E+000,3.36E-002
1.50E+003,2.21E+000,3.36E-002
1.51E+003,2.21E+000,3.36E-002
1.51E+003,2.20E+000,3.36E-002
1.51E+003,2.20E+000,3.36E-002
1.51E+003,2.20E+000,3.36E-002
1.51E+003,2.20E+000,3.36E-002
1.52E+003,2.20E+000,3.36E-002
1.52E+003,2.20E+000,3.36E-002
1.52E+003,2.20E+000,3.36E-002
1.52E+003,2.20E+000,3.36E-002
1.52E+003,2.20E+000,3.35E-002
1.53E+003,2.20E+000,3.35E-002
